health_region_id,health_region_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
35143,Rio Pardo,217325,25956,25954,31851,35007,29855,28318,21963,11921,6500
35151,Catanduva,320610,38563,39042,46418,53261,45051,40476,30361,17438,10000
35152,Santa Fé do Sul,47771,4979,5101,6342,7400,6917,6794,5293,3255,1690
35153,Jales,103857,11181,11233,13523,15537,15187,15000,11520,7001,3675
35154,Fernandópolis,117293,12625,13091,15677,18361,16915,16355,12581,7553,4135
35155,São José do Rio Preto,732845,84739,87780,103904,122735,107344,95463,70007,39554,21319
35156,José Bonifácio,105601,13548,13804,15981,18110,14636,12762,8940,5067,2753
35157,Votuporanga,201493,22484,23267,27799,33400,28750,27305,20501,11928,6059
35161,Itapetininga,510392,71855,70123,80979,84774,70675,58180,41132,21952,10722
35162,Itapeva,281984,43417,39341,45665,42398,37908,32842,22287,12160,5966
35163,Sorocaba,1741781,233140,232195,273646,293812,248097,209301,144109,72390,35091
35171,Alto Vale do Paraíba,1103668,148777,145949,168994,184658,157713,132023,97353,47770,20431
35172,Circuito da Fé e Vale Histórico,486352,64085,62836,72921,79396,68147,60679,43763,23197,11328
35173,Litoral Norte,336281,49915,47096,53128,53846,49000,38488,26114,13064,5630
35174,Vale do Paraíba/Região Serrana,626309,83644,83261,96422,104223,89686,75472,53803,27052,12746
41001,1ª RS Paranaguá,297029,45373,42615,47704,41445,40365,36713,24845,12701,5268
41002,2ª RS Metropolitana,3654960,501454,527618,599681,586039,523203,422968,287023,142982,63992
41003,3ª RS Ponta Grossa,637293,99319,97617,107474,96181,85247,69823,46631,24024,10977
41004,4ª RS Irati,174933,25561,25338,29478,25972,23774,20921,13524,7089,3276
41005,5ª RS Guarapuava,456587,69448,66909,76981,65389,61452,54068,35896,18593,7851
41006,6ª RS União da Vitória,177311,26271,25944,29365,25956,24353,20924,13775,7270,3453
41007,7ª RS Pato Branco,267234,39268,38140,44480,39391,34597,31808,22296,11843,5411
41008,8ª RS Francisco Beltrão,358144,46597,46688,58104,53909,47824,46812,32393,17698,8119
41009,9ª RS Foz do Iguaçu,404414,57563,56916,66392,59868,56126,50002,33615,17050,6882
41010,10ª RS Cascavel,550709,74987,75669,91950,85116,76225,66722,45121,24256,10663
41011,11ª RS Campo Mourão,328863,40536,41363,50418,47913,46007,45066,30986,17671,8903
41012,12ª RS Umuarama,276371,33891,34971,41316,41464,38768,36403,25854,15472,8232
41013,13ª RS Cianorte,160642,20722,21427,26153,24739,22897,20437,13120,7356,3791
41014,14ª RS Paranavaí,275974,35951,36077,42730,40564,38223,36321,24327,14280,7501
41015,15ª RS Maringá,838017,100092,109916,131063,134033,117155,108067,76355,41837,19499
41016,16ª RS Apucarana,384198,49592,51120,59655,58743,53450,48580,33982,19515,9561
41017,17ª RS Londrina,964251,120835,128092,147721,148498,133224,121428,89293,50613,24547
41018,18ª RS Cornélio Procópio,222583,27364,27129,32562,31410,30560,30449,22801,13469,6839
41019,19ª RS Jacarezinho,289020,38572,37904,43901,42589,39310,37534,26812,14961,7437
41020,20ª RS Toledo,398323,49556,52253,63441,61357,55694,51541,34861,20199,9421
41021,21ª RS Telêmaco Borba,188456,30975,28760,31118,28010,24949,20423,13579,7426,3216
41022,22ª RS Ivaiporã,128645,16954,15608,18971,17463,17713,17690,12880,7680,3686
42001,Extremo Oeste,232413,27656,26034,36509,36403,30849,31948,23603,12989,6422
42002,Oeste,364866,46677,46831,61404,61748,49565,45786,30216,15519,7120
42003,Xanxerê,201088,28142,26469,32725,31076,26638,25143,17332,9299,4264
42004,Alto Vale do Itajaí,297821,40532,38604,47879,48639,40470,37222,24585,13431,6459
42005,Foz do Rio Itajaí,715485,99041,96300,120263,123027,99822,84048,55599,25988,11397
42006,Médio Vale do Itajaí,795369,98861,104922,132002,139983,113142,97776,63891,30285,14507
42007,Grande Florianópolis,1209818,145105,150775,193636,214864,176476,148591,104512,51644,24215
42008,Meio Oeste,192347,25170,24542,30173,29870,26449,24845,17125,9590,4583
42009,Alto Vale do Rio do Peixe,294895,43955,41559,48812,44630,39948,35569,22650,12247,5525
42010,Alto Uruguai Catarinense,143718,17159,16744,20778,22228,20009,19689,14853,8280,3978
42011,Nordeste,1040439,143320,140497,173093,177707,148062,123239,80606,37289,16626
42012,Planalto Norte,379079,55203,51574,60439,59625,53843,46013,30103,15023,7256
42013,Serra Catarinense,288162,40110,37742,45076,43914,38844,36510,25319,14012,6635
42014,Extremo Sul Catarinense,202376,27251,25864,31821,31651,26721,27001,18240,9496,4331
42015,Carbonífera,438166,55449,55193,71184,76270,58449,57967,38321,17507,7826
42016,Laguna,368746,45562,44164,56384,59604,49949,50563,35447,18626,8447
43001,Região 01 - Verdes Campos,436807,50332,55141,64185,66172,56001,58235,46064,26421,14256
43002,Região 02 - Entre Rios,123022,13631,14074,17349,16830,16162,17964,14058,8479,4475
43003,Região 03 - Fronteira Oeste,458083,62806,62687,68478,61947,57911,60086,44607,26164,13397
43004,Região 04 - Belas Praias,160805,20651,20656,24385,22937,20906,22108,16585,8735,3842
43005,Região 05 - Bons Ventos,236258,29634,29519,33828,31779,29418,33403,26742,15242,6693
43006,Região 06 - Vale do Paranhana e Costa Serr,235000,32381,33080,37989,35223,31934,30011,19341,10253,4788
43007,Região 07 - Vale dos Sinos,829904,106625,114386,134546,131027,114120,107704,71682,34431,15383
43008,Região 08 - Vale do Caí e Metropolitana,778841,104610,108408,123161,122479,102199,94634,71220,36011,16119
43009,Região 09 - Carbonífera/Costa Doce,413183,54239,56575,64588,61962,54380,52351,38793,20670,9625
43010,Região 10 - Capital e Vale do Gravataí,2369210,293607,316393,363556,372012,314662,284612,232078,126904,65386
43011,Região 11 - Sete Povos das Missões,279639,32481,32988,40235,38652,37299,39130,31297,18259,9298
43012,Região 12 - Portal das Missões,151846,18793,18946,22017,21988,19886,20635,15891,9017,4673
43013,Região 13 - Diversidade,229293,26378,27495,32954,33518,30673,31107,25076,14582,7510
43014,Região 14 - Fronteira Noroeste,223910,22872,23747,31125,31311,30462,33605,27255,15798,7735
43015,Região 15 - Caminho das Águas,182722,21082,21160,26440,25630,23388,25730,21347,11969,5976
43016,Região 16 - Alto Uruguai Gaúcho,232942,24580,26482,33805,33993,31223,33282,25970,15277,8330
43017,Região 17 - Planalto,416446,50938,54263,64248,66213,54593,52606,40739,21951,10895
43018,Região 18 - Araucárias,133202,14386,15324,19855,18943,17126,19156,15058,8975,4379
43019,Região 19 - Botucaraí,117302,14719,14697,17407,16700,15310,15717,12281,7009,3462
43020,Região 20 - Rota da Produção,163205,20840,20183,24084,23008,20795,22194,17274,9786,5041
43021,Região 21 - Sul,878951,107092,113277,130641,129550,113178,113400,91077,52828,27908
43022,Região 22 - Pampa,188345,24328,25371,28911,27345,23846,24278,18116,10440,5710
43023,Região 23 - Caxias e Hortênsias,620945,77937,84881,100107,104304,84516,74849,54443,27090,12818
43024,Região 24 - Campos de Cima da Serra,99809,13972,13935,15218,13966,12732,12542,9394,5366,2684
43025,Região 25 - Vinhedos e Basalto,317563,32285,37313,47781,52329,43711,43445,33282,18005,9412
43026,Região 26 - Uva Vale,189350,20268,23269,29516,30417,25738,27141,18483,9678,4840
43027,Região 27 - Jacuí Centro,203016,24214,25147,28872,28679,25972,28124,22206,12981,6821
43028,Região 28 - Vinte e Oito,351490,40400,43582,53254,53225,48216,47372,35666,19616,10159
43029,Região 29 - Vales e Montanhas,225922,24360,25982,33179,35342,30543,30813,24486,13851,7366
43030,Região 30 - Vale da Luz,130228,15387,16252,19458,20182,17495,17165,13260,7196,3833
50001,Campo Grande,1520047,227256,221372,247412,244981,209209,171039,113775,57893,27110
50002,Corumbá,134766,23282,21702,23184,20942,17142,13632,8404,4464,2014
50003,Dourados,840545,139826,129686,138638,129239,109606,91026,57701,30271,14552
50004,Três Lagoas,283628,41750,40610,45827,46757,40014,31800,21175,10730,4965
51001,Alto Tapajós,107911,16071,15576,18071,16425,15395,13544,7733,3631,1465
51002,Baixada Cuiabana,1008820,148797,149961,160064,175664,145927,110366,71367,33090,13584
51003,Araguaia Xingu,90760,16659,15077,15651,14701,12090,8231,4993,2465,893
51004,Centro Norte,101178,15685,14685,16288,16154,14196,11547,7362,3694,1567
51005,Garças Araguaia,126381,19889,19038,19232,19166,17669,14518,9630,5016,2223
51006,Médio Araguaia,98762,16991,15920,16488,16107,13548,9903,6044,2711,1050
51007,Médio Norte Matogrossense,248714,40874,41581,43918,41389,33813,24905,13654,6130,2450
51008,Noroeste Matogrossense,165972,30222,27460,28903,26242,22868,16038,8883,4039,1317
51009,Norte Araguaia Karajá,24897,4256,3760,3981,3732,3643,2601,1731,800,393
51010,Norte Matogrossense,68763,9954,9622,11239,10399,9866,8597,5166,2730,1190
51011,Oeste Matogrossense,198231,30583,29600,30753,31525,27875,22119,14588,7635,3553
51012,Sudoeste Matogrossense,119311,20973,19372,19748,18983,15894,12230,7199,3505,1407
51013,Sul Matogrossense,531245,80470,80155,87127,88844,76979,58076,35312,17025,7257
51014,Teles Pires,433441,71202,73902,82424,76905,56614,40272,21001,8323,2798
51015,Vale do Peixoto,106203,16795,15763,18789,16209,13247,12886,7700,3553,1261
51016,Vale dos Arinos,53877,8459,7889,8951,8516,7745,6344,3620,1651,702
52001,Central,1910923,248783,268664,305216,341165,281682,216264,144988,72500,31661
52002,Centro Sul,944218,145698,143468,165736,160843,134015,97927,58115,27287,11129
52003,Entorno Norte,269355,45056,42275,47591,45863,37107,26047,15161,7319,2936
52004,Entorno Sul,910035,165773,157679,171863,148787,123707,78672,39610,17465,6479
52005,Estrada de Ferro,314184,42699,43067,49861,52579,45996,37276,24254,12808,5644
52006,Nordeste I,46464,8620,6689,7604,7541,5989,4591,2997,1626,807
52007,Nordeste II,104943,18413,15727,17063,17694,13973,10603,6638,3326,1506
52008,Norte,136519,18596,17508,20768,20961,20584,17327,11725,6326,2724
52009,Oeste I,113882,13200,12844,16488,16577,17488,16494,11367,6440,2984
52010,Oeste II,115958,13910,13948,17786,18300,17281,15555,10454,6018,2706
52011,Pirineus,521757,74928,74750,84551,85606,75126,59812,38467,19767,8750
52012,Rio Vermelho,199298,26054,25384,30299,31995,30385,25705,16677,8883,3916
52013,São Patrício I,166102,20724,20645,25567,25546,24985,22344,14595,8045,3651
52014,Serra da Mesa,129150,18741,17255,20590,21054,18535,15417,9955,5214,2389
52015,Sudoeste I,466594,68243,68927,79821,84888,64788,48041,29725,15417,6744
52016,Sudoeste II,232723,33579,32929,38588,39686,33162,25430,16487,8809,4053
52017,Sul,253654,33453,32934,39402,40287,37878,31440,21241,11643,5376
52018,São Patrício II,182595,27586,26321,29889,30179,26273,20792,12292,6394,2869
53001,Distrito Federal,3015268,393208,453191,505375,548604,459774,326460,194760,94126,39770
