country_iso,country_name,state_id,state_name,city_id,city_name,population,male,female,male-0-19,male-20-29,male-30-39,male-40-49,male-50-59,male-60-69,male-70-79,male-80>,female-0-19,female-20-29,female-30-39,female-40-49,female-50-59,female-60-69,female-70-79,female-80>
BR,Brasil,AL,Alagoas,2703007,Ibateguara,15616,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703106,Igaci,25631,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703205,Igreja Nova,24499,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703304,Inhapi,18385,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703403,Jacaré dos Homens,5253,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703502,Jacuípe,7021,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703601,Japaratinga,8361,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703700,Jaramataia,5770,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703759,Jequiá da Praia,11580,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703809,Joaquim Gomes,23993,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2703908,Jundiá,4155,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704005,Junqueiro,24727,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704104,Lagoa da Canoa,17852,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704203,Limoeiro de Anadia,28635,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704302,Maceió,1018948,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704401,Major Isidoro,19804,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704500,Maragogi,32704,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704609,Maravilha,9163,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704708,Marechal Deodoro,51901,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704807,Maribondo,13264,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2704906,Mar Vermelho,3514,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705002,Mata Grande,25216,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705101,Matriz de Camaragibe,24642,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705200,Messias,17856,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705309,Minador do Negrão,5329,,,,,,,,,,,,,,,,,,
